state,avg_visitor_arrivals,avg_expenditure,avg_intl_guests,avg_length_of_stay,avg_yoy_growth,avg_aor,latest_hotels,latest_rooms,latest_population,rooms_per_1k_pop,visitors_per_capita,demand_score,capacity_score,cluster,profile_label,state_quadrant
JOHOR,12670.117895250385,5602.565459621553,2114641.714285714,2.3133900298605146,14.105937034169513,44.25,552.0,36043.0,4184.4,8.613660261925247,3.027941376362295,-0.1389536636180467,0.5307650765588572,0,High Demand / High Capacity,High Demand / High Capacity
KEDAH,11978.837923950343,3782.9817036132395,1173276.5714285714,2.2805498433980227,11.897708631092984,37.916666666666664,328.0,18600.0,2217.1,8.38933742275946,5.4029308213207985,-0.4813074118550048,-0.2513488029742202,1,Low Demand / Low Readiness,Low Demand / Low Readiness
KELANTAN,7959.6738585728,3203.802077787846,44763.42857142857,2.8855158228089084,22.636645762124132,40.51666666666666,170.0,6362.0,1887.9,3.369881879336829,4.216152263664813,-0.05327138785371762,-1.0116248671299457,1,Low Demand / Low Readiness,High Demand / Low Capacity
MELAKA,13201.156385713444,5384.7483215426255,985996.0,2.081867576230404,21.39478592187916,36.91666666666667,354.0,20159.0,1046.7,19.25957772045476,12.612168133862086,-0.222745990722841,0.2980901993308169,0,High Demand / High Capacity,Low Demand / High Potential
NEGERI SEMBILAN,12899.519834791086,4192.105930409866,274386.71428571426,2.2168034564635057,19.30597263163504,37.0,166.0,10856.0,1239.5,8.758370310609116,10.407034961509549,-0.3636075202477636,-0.6919906561157347,1,Low Demand / Low Readiness,Low Demand / Low Readiness
PAHANG,14969.560050701386,5981.405032572232,2009555.2857142857,2.134720991288019,20.723838965131268,55.916666666666664,501.0,34323.0,1667.7,20.581039755351682,8.976170804522027,0.008552862101276237,0.9189946594104702,0,High Demand / High Capacity,High Demand / High Capacity
PERAK,16546.545272920303,5389.335384274178,495586.4285714286,2.2742133790273713,17.767000534060482,41.050000000000004,481.0,19299.0,2569.4,7.511092083754962,6.4398479306142695,-0.1475719693564455,0.0033549940382876877,0,High Demand / High Capacity,Low Demand / Low Readiness
PERLIS,2041.1903493773327,590.6273704082741,5034.428571428572,2.3564602569415887,32.8837878500404,34.333333333333336,44.0,1489.0,296.8,5.0168463611859835,6.877325974991013,-0.4959624872146023,-1.2715096798749463,1,Low Demand / Low Readiness,Low Demand / Low Readiness
PULAU PINANG,12407.7297472877,5088.201328485465,1941824.142857143,2.41429616800087,21.477256362723722,42.75,376.0,26692.0,1800.5,14.824770896973064,6.891268951562177,0.07486252126140534,0.2833668482011154,0,High Demand / High Capacity,High Demand / High Capacity
SABAH,15401.291496111315,5962.202691203008,1783079.4285714286,2.7071203221094087,21.460520528292403,42.949999999999996,540.0,27208.0,3742.0,7.270978086584714,4.115791420660426,0.41000129111929,0.2658747812594538,2,High Demand / High Capacity,High Demand / High Capacity
SARAWAK,15915.774383835085,6208.452041616706,736194.7142857143,3.1719387785859245,13.721218245057116,46.18333333333334,522.0,27913.0,2517.5,11.087586891757697,6.322055365972228,0.42403629292975015,0.41279641190024363,2,High Demand / High Capacity,High Demand / High Capacity
SELANGOR,26274.4495720527,10797.115388094873,1940008.4285714286,2.1180843984917312,18.6435295755827,45.449999999999996,460.0,34883.0,7362.7,4.737799991850816,3.568588910597023,0.6098513614867171,0.1718858889669308,2,High Demand / High Capacity,High Demand / High Capacity
TERENGGANU,11030.552661615802,3964.250451466611,150333.57142857142,2.48191601318458,14.936721477643609,44.06666666666666,256.0,11190.0,1231.5,9.086479902557857,8.957005815359969,-0.39085378867203635,-0.5072940356019723,1,Low Demand / Low Readiness,Low Demand / Low Readiness
W.P. KUALA LUMPUR,20767.47826864894,10029.986930898262,7293351.428571428,2.3915574919229305,27.58553994054893,46.550000000000004,464.0,63973.0,2067.5,30.942200725513906,10.044729513252209,1.4501027789398222,1.9204710477679943,3,High Demand / High Capacity,High Demand / High Capacity
W.P. LABUAN,330.62203615384414,208.00666516050484,44910.28571428572,2.720912248222066,35.36016902200357,36.416666666666664,50.0,2296.0,100.8,22.77777777777778,3.2799805173992476,-0.2484231141539929,-0.47652231090576125,1,Low Demand / Low Readiness,Low Demand / Low Readiness
W.P. PUTRAJAYA,1647.5021739286371,622.4194260985885,121837.71428571429,2.3784774068389174,34.37930328229533,49.26666666666667,13.0,2580.0,120.3,21.44638403990025,13.694947414203135,-0.43470977414380785,-0.5953095548315892,1,Low Demand / Low Readiness,Low Demand / Low Readiness
