asset_id,asset_name,asset_group,category,state,district,latitude,longitude,nearest_environment_id,nearest_environment_name,protection_type,environment_type,distance_to_sensitive_area_m,distance_to_sensitive_area_km,relationship,nearest_land_id,nearest_land_name,dist_land_m,dist_land_km,land_relationship,nearest_marine_id,nearest_marine_name,dist_marine_m,dist_marine_km,marine_relationship
OSM_node_7265862962,Long Hwa Aquarium,Core Tourism Asset,Aquarium,Johor,Batu Pahat,1.842211,102.949334,001,Banang Water Catchment Forest,Forest Reserve,Land,1357.3,1.36,Outside,001,Banang Water Catchment Forest,1357.3,1.36,Outside,056,Nine Islands Wildlife Reserve,72081.5,72.08,Outside
OSM_node_5240309922,Abandoned Fire Station,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.851015,102.925832,001,Banang Water Catchment Forest,Forest Reserve,Land,2572.2,2.57,Outside,001,Banang Water Catchment Forest,2572.2,2.57,Outside,056,Nine Islands Wildlife Reserve,69290.2,69.29,Outside
OSM_node_14014623606,Fortune Dragon,Core Tourism Asset,Attraction,Johor,Batu Pahat,2.020555,103.081634,007,Maokil Water Catchment Forest,Forest Reserve,Land,20934.0,20.93,Outside,007,Maokil Water Catchment Forest,20934.0,20.93,Outside,056,Nine Islands Wildlife Reserve,81248.0,81.25,Outside
OSM_node_8785274135,Pantai Sungai Lurus,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.727808,103.028447,001,Banang Water Catchment Forest,Forest Reserve,Land,12687.0,12.69,Outside,001,Banang Water Catchment Forest,12687.0,12.69,Outside,030,Pulau Kukup National Park,61227.7,61.23,Outside
OSM_way_1461870854,Rumah Tempat Datang-Datang Batu Pahat,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.861444,102.955217,001,Banang Water Catchment Forest,Forest Reserve,Land,3577.3,3.58,Outside,001,Banang Water Catchment Forest,3577.3,3.58,Outside,056,Nine Islands Wildlife Reserve,72053.9,72.05,Outside
OSM_node_5433116545,The Roundabout Tree,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.846848,102.938122,001,Banang Water Catchment Forest,Forest Reserve,Land,1826.8,1.83,Outside,001,Banang Water Catchment Forest,1826.8,1.83,Outside,056,Nine Islands Wildlife Reserve,70734.4,70.73,Outside
OSM_node_11758056916,Unnamed Attraction,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.830429,102.970445,001,Banang Water Catchment Forest,Forest Reserve,Land,2323.9,2.32,Outside,001,Banang Water Catchment Forest,2323.9,2.32,Outside,030,Pulau Kukup National Park,73912.8,73.91,Outside
OSM_node_13649557001,Unnamed Attraction,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.826475,102.951359,001,Banang Water Catchment Forest,Forest Reserve,Land,172.3,0.17,Near,001,Banang Water Catchment Forest,172.3,0.17,Near,056,Nine Islands Wildlife Reserve,72870.8,72.87,Outside
OSM_node_5289142121,ZhenXin Organic Farm,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.962951,103.211888,005,Kluang Water Catchment Forest,Forest Reserve,Land,26034.3,26.03,Outside,005,Kluang Water Catchment Forest,26034.3,26.03,Outside,030,Pulau Kukup National Park,72909.8,72.91,Outside
OSM_node_6040704089,crown of johor,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.857496,102.936876,001,Banang Water Catchment Forest,Forest Reserve,Land,3012.8,3.01,Outside,001,Banang Water Catchment Forest,3012.8,3.01,Outside,056,Nine Islands Wildlife Reserve,70234.6,70.23,Outside
OSM_node_6313940185,free durian,Core Tourism Asset,Attraction,Johor,Batu Pahat,1.779833,103.096961,001,Banang Water Catchment Forest,Forest Reserve,Land,16619.9,16.62,Outside,001,Banang Water Catchment Forest,16619.9,16.62,Outside,030,Pulau Kukup National Park,60616.4,60.62,Outside
OSM_relation_12909783,Pantai Minyak Beku,Core Tourism Asset,Beach,Johor,Batu Pahat,1.794177,102.888357,001,Banang Water Catchment Forest,Forest Reserve,Land,4510.3,4.51,Outside,001,Banang Water Catchment Forest,4510.3,4.51,Outside,056,Nine Islands Wildlife Reserve,67735.9,67.74,Outside
OSM_relation_12790205,Unnamed Beach,Core Tourism Asset,Beach,Johor,Batu Pahat,1.734215,103.012516,001,Banang Water Catchment Forest,Forest Reserve,Land,10892.0,10.89,Outside,001,Banang Water Catchment Forest,10892.0,10.89,Outside,030,Pulau Kukup National Park,62992.1,62.99,Outside
OSM_node_5898717444,Unnamed Historic Site,Core Tourism Asset,Historic Site,Johor,Batu Pahat,1.788791,102.885386,001,Banang Water Catchment Forest,Forest Reserve,Land,5057.1,5.06,Outside,001,Banang Water Catchment Forest,5057.1,5.06,Outside,056,Nine Islands Wildlife Reserve,67688.8,67.69,Outside
OSM_node_3223162097,Parit Sulong Memorial,Core Tourism Asset,Historic Site (Memorial),Johor,Batu Pahat,1.973452,102.885055,001,Banang Water Catchment Forest,Forest Reserve,Land,16869.3,16.87,Outside,001,Banang Water Catchment Forest,16869.3,16.87,Outside,056,Nine Islands Wildlife Reserve,60981.0,60.98,Outside
OSM_node_13995819832,Unnamed Historic Site (Memorial),Core Tourism Asset,Historic Site (Memorial),Johor,Batu Pahat,2.020723,103.056338,007,Maokil Water Catchment Forest,Forest Reserve,Land,19085.7,19.09,Outside,007,Maokil Water Catchment Forest,19085.7,19.09,Outside,056,Nine Islands Wildlife Reserve,78462.7,78.46,Outside
OSM_node_11750331828,Perigi Batu Pahat,Core Tourism Asset,Historic Site (Stone),Johor,Batu Pahat,1.795969,102.889413,001,Banang Water Catchment Forest,Forest Reserve,Land,4325.8,4.33,Outside,001,Banang Water Catchment Forest,4325.8,4.33,Outside,056,Nine Islands Wildlife Reserve,67759.9,67.76,Outside
OSM_node_2322540916,Dataran Siswazah,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.85324,103.087372,001,Banang Water Catchment Forest,Forest Reserve,Land,15471.2,15.47,Outside,001,Banang Water Catchment Forest,15471.2,15.47,Outside,030,Pulau Kukup National Park,67925.7,67.93,Outside
OSM_node_11758185856,Sam Choon Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.856654,102.965279,001,Banang Water Catchment Forest,Forest Reserve,Land,3678.0,3.68,Outside,001,Banang Water Catchment Forest,3678.0,3.68,Outside,056,Nine Islands Wildlife Reserve,73280.4,73.28,Outside
OSM_node_11166136464,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.968271,102.907688,001,Banang Water Catchment Forest,Forest Reserve,Land,15635.0,15.63,Outside,001,Banang Water Catchment Forest,15635.0,15.63,Outside,056,Nine Islands Wildlife Reserve,63560.0,63.56,Outside
OSM_node_11166136465,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.966212,102.900335,001,Banang Water Catchment Forest,Forest Reserve,Land,15599.1,15.6,Outside,001,Banang Water Catchment Forest,15599.1,15.6,Outside,056,Nine Islands Wildlife Reserve,62840.7,62.84,Outside
OSM_node_11166136466,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.965925,102.899556,001,Banang Water Catchment Forest,Forest Reserve,Land,15590.7,15.59,Outside,001,Banang Water Catchment Forest,15590.7,15.59,Outside,056,Nine Islands Wildlife Reserve,62766.9,62.77,Outside
OSM_node_11166136467,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.96582,102.898308,001,Banang Water Catchment Forest,Forest Reserve,Land,15616.1,15.62,Outside,001,Banang Water Catchment Forest,15616.1,15.62,Outside,056,Nine Islands Wildlife Reserve,62637.3,62.64,Outside
OSM_node_11166169709,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.965915,102.924209,001,Banang Water Catchment Forest,Forest Reserve,Land,15102.4,15.1,Outside,001,Banang Water Catchment Forest,15102.4,15.1,Outside,056,Nine Islands Wildlife Reserve,65398.6,65.4,Outside
OSM_node_11751792303,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.814329,102.939687,001,Banang Water Catchment Forest,Forest Reserve,Land,0.0,0.0,Inside,001,Banang Water Catchment Forest,0.0,0.0,Inside,056,Nine Islands Wildlife Reserve,72127.0,72.13,Outside
OSM_node_11752587778,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.849539,102.955623,001,Banang Water Catchment Forest,Forest Reserve,Land,2407.0,2.41,Outside,001,Banang Water Catchment Forest,2407.0,2.41,Outside,056,Nine Islands Wildlife Reserve,72491.6,72.49,Outside
OSM_node_11753342774,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.845269,102.962049,001,Banang Water Catchment Forest,Forest Reserve,Land,2462.7,2.46,Outside,001,Banang Water Catchment Forest,2462.7,2.46,Outside,056,Nine Islands Wildlife Reserve,73318.2,73.32,Outside
OSM_node_12150871537,Unnamed Viewpoint,Core Tourism Asset,Viewpoint,Johor,Batu Pahat,1.995546,102.89599,007,Maokil Water Catchment Forest,Forest Reserve,Land,17448.4,17.45,Outside,007,Maokil Water Catchment Forest,17448.4,17.45,Outside,056,Nine Islands Wildlife Reserve,61509.8,61.51,Outside
