state,core_tourism_assets,healthcare_access_rate_5km,hospital_access_rate_15km,avg_dist_to_healthcare_km,median_dist_to_healthcare_km,avg_dist_to_hospital_km,median_dist_to_hospital_km,high_access_pct,low_access_pct
W.P. Kuala Lumpur,239,100.0,100.0,0.45,0.35,1.35,1.29,99.58,0.0
W.P. Putrajaya,12,100.0,100.0,1.51,1.45,2.39,2.44,75.0,0.0
Melaka,1202,99.58,99.83,0.45,0.25,1.11,0.8,96.59,0.0
Pulau Pinang,374,98.66,100.0,1.21,0.8,3.62,2.54,79.95,0.0
Kelantan,213,82.63,88.26,4.48,1.2,8.21,5.1,72.3,8.92
Selangor,493,80.32,87.02,2.83,1.79,6.63,4.68,52.74,2.64
Negeri Sembilan,169,78.7,87.57,3.23,1.91,7.67,5.8,50.89,7.1
Perak,403,70.47,72.21,5.62,2.73,10.69,7.1,43.18,15.88
Pahang,456,68.42,67.32,5.44,2.99,12.79,7.54,40.35,15.57
Perlis,15,66.67,80.0,3.65,3.35,10.21,8.01,20.0,0.0
Kedah,335,61.49,83.88,4.67,3.18,9.11,8.46,37.91,8.36
Johor,351,59.54,69.8,6.63,2.99,11.92,9.42,42.45,26.5
Sarawak,474,49.79,64.77,9.48,5.32,15.15,8.49,40.51,37.55
Sabah,449,46.33,65.26,10.53,6.03,12.86,7.97,36.3,35.19
Terengganu,270,45.19,32.59,13.66,6.67,24.0,23.73,26.3,40.74
W.P. Labuan,36,44.44,100.0,5.37,5.69,6.79,5.91,30.56,8.33
