state,reference_year,demand_score,readiness_score,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,aor_pct,visitor_to_room_ratio,road_access_rate,pt_access_rate,environmental_exposure_rate,terrestrial_exposure_rate,marine_exposure_rate
W.P. Kuala Lumpur,2025,98.77,99.7,35059933,13383492,16906.19,62.6,548.04,96.65,99.58,26.14,26.14,0.0
Selangor,2025,73.35,27.86,36376442,3614885,15761.73,51.6,1042.81,43.61,46.04,5.97,5.97,0.0
Pahang,2025,47.46,17.91,23161166,2953226,9846.77,75.6,674.8,26.97,29.17,39.62,33.0,10.36
Sabah,2025,46.39,19.81,22361168,2900293,9753.33,51.6,821.86,40.31,34.3,27.77,21.61,6.48
Sarawak,2025,41.3,17.86,22721527,1222481,9138.38,47.7,814.01,38.82,26.37,8.12,5.5,2.64
Johor,2025,41.3,24.48,18196973,3250524,8722.92,52.3,504.87,37.89,43.02,2.4,1.43,0.97
Pulau Pinang,2025,40.94,46.67,17717979,3472459,8490.36,56.8,663.79,68.45,79.14,1.1,0.22,0.88
Melaka,2025,39.8,60.36,20832202,1654330,8732.4,45.4,1033.39,97.5,95.42,9.24,0.63,9.17
Perak,2025,39.21,18.32,23642055,944578,8018.54,46.9,1225.04,44.67,32.75,3.18,3.15,0.03
Negeri Sembilan,2025,31.09,17.82,19356545,497085,6529.26,42.2,1783.03,45.56,40.83,10.4,2.83,8.12
Kedah,2025,29.59,13.52,15607884,2109996,5520.25,46.6,839.13,35.82,20.0,0.38,0.16,0.22
Terengganu,2025,25.44,8.3,15462278,276786,5795.14,46.3,1381.79,20.74,25.19,19.32,3.73,15.78
Kelantan,2025,20.6,6.93,12062016,59329,5239.01,43.2,1895.95,26.76,20.19,1.1,1.1,0.0
W.P. Putrajaya,2025,4.63,47.51,3146484,222220,1235.86,56.5,1219.57,91.67,100.0,0.0,0.0,0.0
Perlis,2025,4.61,11.65,3755682,8334,1211.2,41.0,2522.28,40.0,33.33,2.58,2.58,0.0
W.P. Labuan,2025,0.12,8.72,604370,55107,379.29,37.0,263.23,13.89,11.11,2.38,0.0,2.38
