state,year,accommodation_establishments,accommodation_rooms,aor_pct
Johor,2024,552,36043,52.3
Kedah,2024,328,18600,46.6
Kelantan,2024,170,6362,43.2
W.P. Kuala Lumpur,2024,464,63973,62.6
W.P. Labuan,2024,50,2296,37.0
Melaka,2024,354,20159,45.4
Negeri Sembilan,2024,166,10856,42.2
Pahang,2024,501,34323,75.6
Perak,2024,481,19299,46.9
Perlis,2024,44,1489,41.0
Pulau Pinang,2024,376,26692,56.8
W.P. Putrajaya,2024,13,2580,56.5
Sabah,2024,540,27208,51.6
Sarawak,2024,522,27913,47.7
Selangor,2024,460,34883,51.6
Terengganu,2024,256,11190,46.3
