state,domestic_visitors,accommodation_rooms,visitor_to_room_ratio,demand_pressure_rank
Perlis,3755682,1489,2522.28,1
Kelantan,12062016,6362,1895.95,2
Negeri Sembilan,19356545,10856,1783.03,3
Terengganu,15462278,11190,1381.79,4
Perak,23642055,19299,1225.04,5
W.P. Putrajaya,3146484,2580,1219.57,6
Selangor,36376442,34883,1042.81,7
Melaka,20832202,20159,1033.39,8
Kedah,15607884,18600,839.13,9
Sabah,22361168,27208,821.86,10
Sarawak,22721527,27913,814.01,11
Pahang,23161166,34323,674.8,12
Pulau Pinang,17717979,26692,663.79,13
W.P. Kuala Lumpur,35059933,63973,548.04,14
Johor,18196973,36043,504.87,15
W.P. Labuan,604370,2296,263.23,16
