state,beds_nonicu,util_nonicu,beds_icu,util_icu,vent,util_vent,total_beds,util_overall_pct
Malaysia,30860,55.77770576798444,893.0,57.55879059350504,2176.0,29.963235294117645,31753.0,55.83
Johor,2104,26.33079847908745,65.0,58.46153846153847,174.0,25.86206896551724,2169.0,27.29
Kedah,2531,78.86210983800869,64.0,75.0,166.0,37.34939759036144,2595.0,78.77
Kelantan,1805,32.5207756232687,80.0,48.75,133.0,38.34586466165413,1885.0,33.21
Melaka,1269,80.22064617809299,58.0,68.96551724137932,123.0,41.46341463414634,1327.0,79.73
Negeri Sembilan,1209,66.66666666666666,26.0,0.0,158.0,0.0,1235.0,65.26
Pahang,1342,72.80178837555886,37.0,67.56756756756756,78.0,41.02564102564102,1379.0,72.66
Perak,3232,69.86386138613861,100.0,24.0,185.0,24.864864864864867,3332.0,68.49
Perlis,491,83.09572301425662,21.0,71.42857142857143,28.0,35.714285714285715,512.0,82.62
Pulau Pinang,1877,35.21576984549814,39.0,61.53846153846154,109.0,32.11009174311927,1916.0,35.75
Sabah,2313,75.14051015996542,96.0,71.875,132.0,55.3030303030303,2409.0,75.01
Sarawak,3486,61.84738955823293,101.0,56.43564356435643,220.0,38.18181818181819,3587.0,61.7
Selangor,4672,45.01284246575342,117.0,53.84615384615385,407.0,20.14742014742015,4789.0,45.23
Terengganu,1379,76.50471356055112,29.0,72.41379310344827,88.0,42.04545454545455,1408.0,76.42
W.P. Kuala Lumpur,2268,25.74955908289241,34.0,100.0,92.0,35.869565217391305,2302.0,26.85
W.P. Labuan,115,0.0,7.0,28.57142857142857,46.0,2.1739130434782608,122.0,1.64
W.P. Putrajaya,767,40.67796610169492,19.0,78.94736842105263,37.0,27.027027027027028,786.0,41.6
