beds,date,type,state,district
45087,2015-01-01,all,Malaysia,All
36447,2015-01-01,hospital_moh,Malaysia,All
3698,2015-01-01,hospital_non_moh,Malaysia,All
4942,2015-01-01,special_medical_institution,Malaysia,All
45678,2016-01-01,all,Malaysia,All
37293,2016-01-01,hospital_moh,Malaysia,All
3683,2016-01-01,hospital_non_moh,Malaysia,All
4702,2016-01-01,special_medical_institution,Malaysia,All
46054,2017-01-01,all,Malaysia,All
37330,2017-01-01,hospital_moh,Malaysia,All
3892,2017-01-01,hospital_non_moh,Malaysia,All
4832,2017-01-01,special_medical_institution,Malaysia,All
46611,2018-01-01,all,Malaysia,All
37609,2018-01-01,hospital_moh,Malaysia,All
4187,2018-01-01,hospital_non_moh,Malaysia,All
4815,2018-01-01,special_medical_institution,Malaysia,All
46988,2019-01-01,all,Malaysia,All
38131,2019-01-01,hospital_moh,Malaysia,All
4052,2019-01-01,hospital_non_moh,Malaysia,All
4805,2019-01-01,special_medical_institution,Malaysia,All
48305,2020-01-01,all,Malaysia,All
38543,2020-01-01,hospital_moh,Malaysia,All
4188,2020-01-01,hospital_non_moh,Malaysia,All
5574,2020-01-01,special_medical_institution,Malaysia,All
49781,2021-01-01,all,Malaysia,All
39263,2021-01-01,hospital_moh,Malaysia,All
4932,2021-01-01,hospital_non_moh,Malaysia,All
5586,2021-01-01,special_medical_institution,Malaysia,All
49985,2022-01-01,all,Malaysia,All
39581,2022-01-01,hospital_moh,Malaysia,All
4818,2022-01-01,hospital_non_moh,Malaysia,All
5586,2022-01-01,special_medical_institution,Malaysia,All
4968,2015-01-01,all,Johor,All Districts
5185,2016-01-01,all,Johor,All Districts
5185,2017-01-01,all,Johor,All Districts
5200,2018-01-01,all,Johor,All Districts
5200,2019-01-01,all,Johor,All Districts
5270,2020-01-01,all,Johor,All Districts
5278,2021-01-01,all,Johor,All Districts
5433,2022-01-01,all,Johor,All Districts
3836,2015-01-01,hospital_moh,Johor,All Districts
4053,2016-01-01,hospital_moh,Johor,All Districts
4053,2017-01-01,hospital_moh,Johor,All Districts
4068,2018-01-01,hospital_moh,Johor,All Districts
4068,2019-01-01,hospital_moh,Johor,All Districts
4138,2020-01-01,hospital_moh,Johor,All Districts
4146,2021-01-01,hospital_moh,Johor,All Districts
4301,2022-01-01,hospital_moh,Johor,All Districts
0,2015-01-01,hospital_non_moh,Johor,All Districts
0,2016-01-01,hospital_non_moh,Johor,All Districts
0,2017-01-01,hospital_non_moh,Johor,All Districts
