state,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,average_length_of_stay_nights,domestic_visitors_rank,international_hotel_guests_rank,domestic_receipts_rank,average_length_of_stay_rank
Selangor,36376442,3614885,15761.73,2.31,1,2,2,12
W.P. Kuala Lumpur,35059933,13383492,16906.19,2.33,2,1,1,11
Perak,23642055,944578,8018.54,2.44,3,10,9,10
Pahang,23161166,2953226,9846.77,2.21,4,5,3,15
Sarawak,22721527,1222481,9138.38,3.1,5,9,5,2
Sabah,22361168,2900293,9753.33,3.15,6,6,4,1
Melaka,20832202,1654330,8732.4,2.11,7,8,6,16
Negeri Sembilan,19356545,497085,6529.26,2.29,8,11,10,13
Johor,18196973,3250524,8722.92,2.68,9,4,7,6
Pulau Pinang,17717979,3472459,8490.36,2.65,10,3,8,7
Kedah,15607884,2109996,5520.25,2.82,11,7,12,4
Terengganu,15462278,276786,5795.14,2.76,12,12,11,5
Kelantan,12062016,59329,5239.01,2.98,13,14,13,3
Perlis,3755682,8334,1211.2,2.25,14,16,15,14
W.P. Putrajaya,3146484,222220,1235.86,2.5,15,13,14,9
W.P. Labuan,604370,55107,379.29,2.51,16,15,16,8
