state,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,average_length_of_stay_nights
Selangor,36376442,3614885,15761.73,2.31
W.P. Kuala Lumpur,35059933,13383492,16906.19,2.33
Perak,23642055,944578,8018.54,2.44
Pahang,23161166,2953226,9846.77,2.21
Sarawak,22721527,1222481,9138.38,3.1
Sabah,22361168,2900293,9753.33,3.15
Melaka,20832202,1654330,8732.4,2.11
Negeri Sembilan,19356545,497085,6529.26,2.29
Johor,18196973,3250524,8722.92,2.68
Pulau Pinang,17717979,3472459,8490.36,2.65
Kedah,15607884,2109996,5520.25,2.82
Terengganu,15462278,276786,5795.14,2.76
Kelantan,12062016,59329,5239.01,2.98
Perlis,3755682,8334,1211.2,2.25
W.P. Putrajaya,3146484,222220,1235.86,2.5
W.P. Labuan,604370,55107,379.29,2.51
