year,quarter,domestic_visitors ('000),visitors_qoq,visitors_yoy,"total_tourism_expenditure (RM juta/ 
RM million)",expenditure_qoq,expenditure_yoy
2022,1,36362.76963,33.34569282,156.9011937,13065.37349,43.98387005,229.2131182
2022,2,45468.07625,25.04019005,310.2842902,17652.56833,35.10955761,716.9257243
2022,3,43000.24562,-5.42761172,219.2316838,14995.62344,-15.0513219,367.6661489
2022,4,46771.87451,8.771179878,71.51685843,18366.73432,22.48063167,102.4062679
2023,1,49262,5.3,35.5,19206.21644,4.567975173,47.00344432
2023,2,55284,12.2,21.6,21877.90251,13.91181144,23.93305673
2023,3,54165,-2.023146949,26,20070.10253,-8.263600704,33.83568952
2023,4,55032,1.600664636,17.7,23777.90251,18.47485055,29.45991455
2024,1,58614,6.509182355,18.98345194,24063.30867,1.200300012,25.28916745
2024,2,68438.52455,16.76127156,23.79458211,28136.15068,16.92552784,28.60533899
2024,3,66255.70535,-3.189459765,22.32133668,25561.82274,-9.149538524,27.36269133
2024,4,66817.384,0.847743828,21.41551098,28984.82896,13.39108819,21.89817397
2025,1,69677.89728,4.281091394,18.87586119,29384.30117,1.378211369,22.11247244
2025,2,73752.75845,5.848140273,7.764974379,29205.67028,-0.607912677,3.801229277
2025,3,72604.33477,-1.6,9.6,29840,2.2,16.7
2025,4,74029.71322,1.963213979,10.79472772,32566.23033,9.1,12.4
2026,1,74665.36616,0.858645686,7.157892354,34039.0641,4.5,15.84098566
