asset_id,asset_name,category,state,district,lat,lon,nearest_healthcare_name,nearest_healthcare_type,distance_to_healthcare_m,distance_to_healthcare_km,nearest_hospital_name,distance_to_hospital_km,nearest_clinic_name,distance_to_clinic_km,nearest_pharmacy_name,distance_to_pharmacy_km,healthcare_access_tier,hospital_access_tier
OSM_node_7265862962,Long Hwa Aquarium,Aquarium,Johor,Batu Pahat,1.842211,102.949334,Happiness Traditional Chinese Medicine Centre,Hospital,22.9,0.023,Happiness Traditional Chinese Medicine Centre,0.023,Klinik Taita,0.088,AM PM PHARMACY SDN BHD,0.372,High Access,High Emergency Access
OSM_node_5240309922,Abandoned Fire Station,Attraction,Johor,Batu Pahat,1.851015,102.925832,Klinik Laysia,Clinic,302.3,0.302,Putra Specialist Hospital,0.85,Klinik Laysia,0.302,Watsons,0.408,High Access,High Emergency Access
OSM_node_14014623606,Fortune Dragon,Attraction,Johor,Batu Pahat,2.020555,103.081634,Health Lane Family Pharmacy,Pharmacy,1424.9,1.425,PKU,18.133,Klinik Kesihatan Yong Peng,2.953,Health Lane Family Pharmacy,1.425,High Access,Limited Emergency Access
OSM_node_8785274135,Pantai Sungai Lurus,Attraction,Johor,Batu Pahat,1.727808,103.028447,Klinik Kesihatan Senggerang,Clinic,3092.4,3.092,Hospital Sultanah Nora Ismail,15.429,Klinik Kesihatan Senggerang,3.092,Guardian,14.53,Moderate Access,Limited Emergency Access
OSM_way_1461870854,Rumah Tempat Datang-Datang Batu Pahat,Attraction,Johor,Batu Pahat,1.861444,102.955217,Klinik L' Medina,Clinic,258.1,0.258,Pantai Hospital Batu Pahat,0.486,Klinik L' Medina,0.258,ALPRO Pharmacy,0.76,High Access,High Emergency Access
OSM_node_5433116545,The Roundabout Tree,Attraction,Johor,Batu Pahat,1.846848,102.938122,Klinik Kesihatan Batu Pahat,Clinic,513.4,0.513,Hospital Sultanah Nora Ismail,1.216,Klinik Kesihatan Batu Pahat,0.513,Watsons,1.038,High Access,High Emergency Access
OSM_node_11758056916,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.830429,102.970445,mediwell,Pharmacy,2303.3,2.303,Happiness Traditional Chinese Medicine Centre,2.698,Kurnia Clinic,2.423,mediwell,2.303,Moderate Access,High Emergency Access
OSM_node_13649557001,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.826475,102.951359,Kurnia Clinic,Clinic,998.3,0.998,Hospital Sultanah Nora Ismail,1.525,Kurnia Clinic,0.998,AM PM PHARMACY SDN BHD,1.812,High Access,High Emergency Access
OSM_node_5289142121,ZhenXin Organic Farm,Attraction,Johor,Batu Pahat,1.962951,103.211888,KPJ Kluang Specialist Hospital,Hospital,8941.2,8.941,KPJ Kluang Specialist Hospital,8.941,klinik desa kg pt semarang,11.11,am pm farmasi,11.622,Limited Access,Moderate Emergency Access
OSM_node_6040704089,crown of johor,Attraction,Johor,Batu Pahat,1.857496,102.936876,Klinik Elizabeth,Clinic,107.2,0.107,Pantai Hospital Batu Pahat,1.608,Klinik Elizabeth,0.107,AM PM Farmasi,0.972,High Access,High Emergency Access
OSM_node_6313940185,free durian,Attraction,Johor,Batu Pahat,1.779833,103.096961,Klinik Desa Parit Kemang,Clinic,2993.8,2.994,D15 PKU,8.625,Klinik Desa Parit Kemang,2.994,Guardian,8.045,Moderate Access,Moderate Emergency Access
OSM_relation_12909783,Minyak Beku Beach,Beach,Johor,Batu Pahat,1.794177,102.888357,Klinik Desa Peserai,Clinic,6413.9,6.414,Hospital Sultanah Nora Ismail,7.612,Klinik Desa Peserai,6.414,Mediwell Pharmacy,6.844,Limited Access,Moderate Emergency Access
OSM_relation_12790205,Unnamed Beach,Beach,Johor,Batu Pahat,1.734215,103.012516,Klinik Desa Tanjong Laboh,Clinic,2353.0,2.353,Hospital Sultanah Nora Ismail,13.8,Klinik Desa Tanjong Laboh,2.353,mediwell,13.723,Moderate Access,Moderate Emergency Access
OSM_node_5898717444,Unnamed Historic Site,Historic Site,Johor,Batu Pahat,1.788791,102.885386,Klinik Desa Peserai,Clinic,7082.0,7.082,Hospital Sultanah Nora Ismail,8.245,Klinik Desa Peserai,7.082,Mediwell Pharmacy,7.506,Limited Access,Moderate Emergency Access
OSM_node_3223162097,Parit Sulong Memorial,Historic Site (Memorial),Johor,Batu Pahat,1.973452,102.885055,Kelinik Jaya,Clinic,341.7,0.342,Putra Specialist Hospital,13.472,Kelinik Jaya,0.342,Mediwell Pharmacy,12.964,High Access,Moderate Emergency Access
OSM_node_13995819832,Unnamed Historic Site (Memorial),Historic Site (Memorial),Johor,Batu Pahat,2.020723,103.056338,Klinik Kesihatan Yong Peng,Clinic,1003.4,1.003,KPJ Batu Pahat Specialist Hospital,18.382,Klinik Kesihatan Yong Peng,1.003,Guardian,1.558,High Access,Limited Emergency Access
OSM_node_11750331828,Batu Pahat Well,Historic Site (Stone),Johor,Batu Pahat,1.795969,102.889413,Klinik Desa Peserai,Clinic,6190.2,6.19,Hospital Sultanah Nora Ismail,7.398,Klinik Desa Peserai,6.19,Mediwell Pharmacy,6.62,Limited Access,Moderate Emergency Access
OSM_node_2322540916,Dataran Siswazah,Viewpoint,Johor,Batu Pahat,1.85324,103.087372,D15 PKU,Hospital,511.6,0.512,D15 PKU,0.512,PKU UTHM,0.516,Guardian,1.22,High Access,High Emergency Access
OSM_node_11758185856,Sam Choon Viewpoint,Viewpoint,Johor,Batu Pahat,1.856654,102.965279,Klinik L' Medina,Clinic,1491.9,1.492,Pantai Hospital Batu Pahat,1.681,Klinik L' Medina,1.492,NH Pharmarcy,1.911,High Access,High Emergency Access
OSM_node_11166136464,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.968271,102.907688,Kelinik Jaya,Clinic,2883.4,2.883,Putra Specialist Hospital,12.346,Kelinik Jaya,2.883,Mediwell Pharmacy,11.192,Moderate Access,Moderate Emergency Access
OSM_node_11166136465,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.966212,102.900335,Kelinik Jaya,Clinic,2208.4,2.208,Putra Specialist Hospital,12.259,Kelinik Jaya,2.208,Mediwell Pharmacy,11.374,Moderate Access,Moderate Emergency Access
OSM_node_11166136466,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.965925,102.899556,Kelinik Jaya,Clinic,2147.9,2.148,Putra Specialist Hospital,12.245,Kelinik Jaya,2.148,Mediwell Pharmacy,11.39,Moderate Access,Moderate Emergency Access
OSM_node_11166136467,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.96582,102.898308,Kelinik Jaya,Clinic,2034.8,2.035,Putra Specialist Hospital,12.264,Kelinik Jaya,2.035,Mediwell Pharmacy,11.451,Moderate Access,Moderate Emergency Access
OSM_node_11166169709,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.965915,102.924209,Kelinik Jaya,Clinic,4729.0,4.729,Putra Specialist Hospital,11.975,Kelinik Jaya,4.729,Mediwell Pharmacy,10.273,Moderate Access,Moderate Emergency Access
