asset_id,asset_name,category,state,district,lat,lon,nearest_pt_name,nearest_pt_type,distance_to_pt_m,distance_to_pt_km,nearest_bus_name,distance_to_bus_km,nearest_rail_name,distance_to_rail_km,nearest_ferry_name,distance_to_ferry_km,pt_access_tier
OSM_node_7265862962,Long Hwa Aquarium,Aquarium,Johor,Batu Pahat,1.842211,102.949334,Unnamed Bus Stop,Bus Stop,701.0,0.701,Unnamed Bus Stop,0.701,Bus Stop,15.299,Terminal Minyak Beku,7.858,Moderate Access
OSM_node_5240309922,Abandoned Fire Station,Attraction,Johor,Batu Pahat,1.851015,102.925832,Terminal Bas Ekspres Batu Pahat,Bus Terminal,277.3,0.277,Terminal Bas Ekspres Batu Pahat,0.277,Bus Stop,17.86,Terminal Minyak Beku,6.84,High Access
OSM_node_14014623606,Fortune Dragon,Attraction,Johor,Batu Pahat,2.020555,103.081634,Unnamed Bus Stop,Bus Stop,1028.1,1.028,Unnamed Bus Stop,1.028,Bus Stop,18.418,Terminal Minyak Beku,32.28,Limited Access
OSM_node_8785274135,Pantai Sungai Lurus,Attraction,Johor,Batu Pahat,1.727808,103.028447,Unnamed Bus Stop,Bus Stop,2859.1,2.859,Unnamed Bus Stop,2.859,Bus Stop,15.426,Terminal Minyak Beku,16.901,Limited Access
OSM_way_1461870854,Rumah Tempat Datang-Datang Batu Pahat,Attraction,Johor,Batu Pahat,1.861444,102.955217,Unnamed Bus Stop,Bus Stop,287.5,0.287,Unnamed Bus Stop,0.287,Bus Stop,14.608,Terminal Minyak Beku,9.773,High Access
OSM_node_5433116545,The Roundabout Tree,Attraction,Johor,Batu Pahat,1.846848,102.938122,Unnamed Bus Stop,Bus Stop,109.6,0.11,Unnamed Bus Stop,0.11,Bus Stop,16.509,Terminal Minyak Beku,7.293,High Access
OSM_node_11758056916,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.830429,102.970445,Unnamed Bus Stop,Bus Stop,1981.5,1.982,Unnamed Bus Stop,1.981,Bus Stop,13.159,Terminal Minyak Beku,9.234,Limited Access
OSM_node_13649557001,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.826475,102.951359,Unnamed Bus Stop,Bus Stop,342.5,0.343,Unnamed Bus Stop,0.342,Bus Stop,15.327,Terminal Minyak Beku,7.118,High Access
OSM_node_5289142121,ZhenXin Organic Farm,Attraction,Johor,Batu Pahat,1.962951,103.211888,Unnamed Bus Stop,Bus Stop,516.0,0.516,Unnamed Bus Stop,0.516,Unnamed Railway Halt,13.347,Terminal Minyak Beku,39.797,Moderate Access
OSM_node_6040704089,crown of johor,Attraction,Johor,Batu Pahat,1.857496,102.936876,Jalan Bakau Condong,Bus Stop,81.2,0.081,Jalan Bakau Condong,0.081,Bus Stop,16.632,Terminal Minyak Beku,8.119,High Access
OSM_node_6313940185,free durian,Attraction,Johor,Batu Pahat,1.779833,103.096961,Unnamed Bus Stop,Bus Stop,2680.8,2.681,Unnamed Bus Stop,2.681,Bus Stop,8.35,Terminal Minyak Beku,22.698,Limited Access
OSM_relation_12909783,Pantai Minyak Beku,Beach,Johor,Batu Pahat,1.794177,102.888357,Terminal Minyak Beku,Ferry Terminal,761.0,0.761,Unnamed Bus Stop,6.697,Bus Stop,23.007,Terminal Minyak Beku,0.761,Moderate Access
OSM_relation_12790205,Unnamed Beach,Beach,Johor,Batu Pahat,1.734215,103.012516,Unnamed Bus Stop,Bus Stop,2246.9,2.247,Unnamed Bus Stop,2.247,Bus Stop,15.636,Terminal Minyak Beku,15.001,Limited Access
OSM_node_5898717444,Unnamed Historic Site,Historic Site,Johor,Batu Pahat,1.788791,102.885386,Terminal Minyak Beku,Ferry Terminal,1409.8,1.41,Unnamed Bus Stop,7.081,Bus Stop,23.501,Terminal Minyak Beku,1.41,Limited Access
OSM_node_3223162097,Parit Sulong Memorial,Historic Site (Memorial),Johor,Batu Pahat,1.973452,102.885055,Unnamed Bus Stop,Bus Stop,1179.2,1.179,Unnamed Bus Stop,1.179,Bus Stop,26.006,Terminal Minyak Beku,19.442,Limited Access
OSM_node_13995819832,Unnamed Historic Site (Memorial),Historic Site (Memorial),Johor,Batu Pahat,2.020723,103.056338,Unnamed Bus Stop,Bus Stop,131.6,0.132,Unnamed Bus Stop,0.132,Bus Stop,18.732,Terminal Minyak Beku,30.552,High Access
OSM_node_11750331828,Perigi Batu Pahat,Historic Site (Stone),Johor,Batu Pahat,1.795969,102.889413,Terminal Minyak Beku,Ferry Terminal,556.1,0.556,Unnamed Bus Stop,6.583,Bus Stop,22.838,Terminal Minyak Beku,0.556,Moderate Access
OSM_node_2322540916,Dataran Siswazah,Viewpoint,Johor,Batu Pahat,1.85324,103.087372,Jalan Kluang route 50,Bus Stop,88.0,0.088,Jalan Kluang route 50,0.088,Bus Stop,0.177,Terminal Minyak Beku,22.372,High Access
OSM_node_11758185856,Sam Choon Viewpoint,Viewpoint,Johor,Batu Pahat,1.856654,102.965279,BP Mall,Bus Stop,772.8,0.773,BP Mall,0.773,Bus Stop,13.469,Terminal Minyak Beku,10.242,Moderate Access
OSM_node_11166136464,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.968271,102.907688,Unnamed Bus Stop,Bus Stop,3718.4,3.718,Unnamed Bus Stop,3.718,Bus Stop,23.557,Terminal Minyak Beku,18.902,Low Access
OSM_node_11166136465,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.966212,102.900335,Unnamed Bus Stop,Bus Stop,3055.4,3.055,Unnamed Bus Stop,3.055,Bus Stop,24.133,Terminal Minyak Beku,18.626,Low Access
OSM_node_11166136466,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.965925,102.899556,Unnamed Bus Stop,Bus Stop,2994.4,2.994,Unnamed Bus Stop,2.994,Bus Stop,24.192,Terminal Minyak Beku,18.591,Limited Access
OSM_node_11166136467,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.96582,102.898308,Unnamed Bus Stop,Bus Stop,2879.8,2.88,Unnamed Bus Stop,2.88,Bus Stop,24.305,Terminal Minyak Beku,18.576,Limited Access
OSM_node_11166169709,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.965915,102.924209,Unnamed Bus Stop,Bus Stop,4392.1,4.392,Unnamed Bus Stop,4.392,Bus Stop,21.877,Terminal Minyak Beku,18.88,Low Access
OSM_node_11751792303,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.814329,102.939687,Unnamed Bus Stop,Bus Stop,1996.9,1.997,Unnamed Bus Stop,1.997,Bus Stop,16.902,Terminal Minyak Beku,5.399,Limited Access
OSM_node_11752587778,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.849539,102.955623,Unnamed Bus Stop,Bus Stop,1515.3,1.515,Unnamed Bus Stop,1.515,Bus Stop,14.55,Terminal Minyak Beku,8.912,Limited Access
OSM_node_11753342774,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.845269,102.962049,Unnamed Bus Stop,Bus Stop,1844.9,1.845,Unnamed Bus Stop,1.845,Bus Stop,13.862,Terminal Minyak Beku,9.198,Limited Access
OSM_node_12150871537,Unnamed Viewpoint,Viewpoint,Johor,Batu Pahat,1.995546,102.89599,Unnamed Bus Stop,Bus Stop,2869.5,2.869,Unnamed Bus Stop,2.87,Bus Stop,26.343,Terminal Minyak Beku,21.865,Limited Access
OSM_node_11957999308,Jerai Waterfall,Waterfall,Johor,Batu Pahat,2.112311,102.919402,Unnamed Bus Stop,Bus Stop,15526.4,15.526,Unnamed Bus Stop,15.526,Stesen Operasi Bekok,29.994,Jeti Liang Batu,21.178,Low Access
OSM_node_11166136463,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.960143,102.908851,Unnamed Bus Stop,Bus Stop,4211.0,4.211,Unnamed Bus Stop,4.211,Bus Stop,22.974,Terminal Minyak Beku,18.015,Low Access
OSM_node_11752698249,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.837816,102.963701,Unnamed Bus Stop,Bus Stop,1548.9,1.549,Unnamed Bus Stop,1.549,Bus Stop,13.763,Terminal Minyak Beku,8.918,Limited Access
OSM_node_11754633606,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.842273,102.966533,Unnamed Bus Stop,Bus Stop,2109.1,2.109,Unnamed Bus Stop,2.109,Bus Stop,13.393,Terminal Minyak Beku,9.438,Limited Access
OSM_node_11754799911,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.843432,102.972938,BP Mall,Bus Stop,2453.7,2.454,BP Mall,2.454,Bus Stop,12.671,Terminal Minyak Beku,10.118,Limited Access
OSM_node_11754799944,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.847057,102.978531,Unnamed Bus Stop,Bus Stop,2249.4,2.249,Unnamed Bus Stop,2.249,Bus Stop,12.018,Terminal Minyak Beku,10.857,Limited Access
OSM_node_11756388290,Unnamed Waterfall,Waterfall,Johor,Batu Pahat,1.826349,102.967319,Unnamed Bus Stop,Bus Stop,1661.9,1.662,Unnamed Bus Stop,1.662,Bus Stop,13.596,Terminal Minyak Beku,8.743,Limited Access
OSM_node_11752751644,Waterfall (1),Waterfall,Johor,Batu Pahat,1.842562,102.965487,Unnamed Bus Stop,Bus Stop,2027.7,2.028,Unnamed Bus Stop,2.028,Bus Stop,13.506,Terminal Minyak Beku,9.356,Limited Access
OSM_way_692975515,SEA LIFE Malaysia,Aquarium,Johor,Johor Bahru,1.427712,103.63166,Legoland,Bus Stop,242.0,0.242,Legoland,0.242,Unnamed Transit Station,0.323,Terminal Feri Puteri Harbour,3.542,High Access
OSM_way_285845913,Bangunan Sultan Ibrahim,Attraction,Johor,Johor Bahru,1.457815,103.761133,Bukit Timbalan,Bus Stop,216.4,0.216,Bukit Timbalan,0.216,Johor Bahru Sentral,0.691,Terminal feri Berjaya Waterfront Johor Bahru,2.984,High Access
OSM_node_4226469389,Berjaya Waterfront Food Truck Park,Attraction,Johor,Johor Bahru,1.469119,103.78196,The Zone,Bus Stop,46.0,0.046,The Zone,0.046,Johor Bahru Sentral,2.044,Terminal feri Berjaya Waterfront Johor Bahru,0.353,High Access
OSM_node_4234717089,CHSL CH 0,Attraction,Johor,Johor Bahru,1.394973,103.620292,Opposite Sunway Big Box (NSK),Bus Stop,744.1,0.744,Opposite Sunway Big Box (NSK),0.744,Unnamed Transit Station,3.117,Puteri harbour (Iskandar Puteri),4.958,Moderate Access
OSM_node_13409743701,Eco Tourism Kampung Sungai Melayu Eco Tourism ( PELANCONGAN) Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.454876,103.691439,Sungai Danga,Bus Stop,1683.9,1.684,Sungai Danga,1.684,Unnamed Transit Station,2.586,Terminal feri Puteri Harbour (Iskandar Puteri),5.619,Limited Access
OSM_node_11078607495,Elephant rock,Attraction,Johor,Johor Bahru,1.635804,103.735142,Unnamed Bus Stop,Bus Stop,3824.9,3.825,Unnamed Bus Stop,3.825,Kempas Baru,11.154,Terminal feri Berjaya Waterfront Johor Bahru,19.16,Low Access
OSM_node_5462566821,Even here somewhere,Attraction,Johor,Johor Bahru,1.45658,103.762555,Pejabat Pos Besar,Bus Stop,148.8,0.149,Pejabat Pos Besar,0.149,Johor Bahru Sentral,0.745,Terminal feri Berjaya Waterfront Johor Bahru,2.913,High Access
OSM_way_1041671494,Forest City Maze,Attraction,Johor,Johor Bahru,1.333971,103.588049,Forest City Sales Gallery,Bus Stop,357.5,0.357,Forest City Sales Gallery,0.357,Unnamed Transit Station,5.152,Puteri harbour (Iskandar Puteri),11.957,High Access
OSM_node_11461074169,GT Karting,Attraction,Johor,Johor Bahru,1.554301,103.794907,Pasaraya Hero,Bus Stop,176.1,0.176,Pasaraya Hero,0.176,Unnamed Railway / Transit Station,8.155,Terminal feri Berjaya Waterfront Johor Bahru,9.371,High Access
OSM_way_1550338443,Iskandar Puteri Sign,Attraction,Johor,Johor Bahru,1.451041,103.652697,Horizon Hills,Bus Stop,1036.4,1.036,Horizon Hills,1.036,Unnamed Transit Station,1.748,Terminal Feri Puteri Harbour,4.163,Limited Access
OSM_node_4348205089,JB 美乐 面线,Attraction,Johor,Johor Bahru,1.533,103.793879,Opposite Taman Molek,Bus Stop,184.0,0.184,Opposite Taman Molek,0.184,Unnamed Railway / Transit Station,7.782,Terminal feri Berjaya Waterfront Johor Bahru,7.017,High Access
OSM_way_883063464,Johor Bahru Night Market,Attraction,Johor,Johor Bahru,1.506211,103.729023,Pejabat Fama Negeri Johor,Bus Stop,509.3,0.509,Pejabat Fama Negeri Johor,0.509,Unnamed Railway / Transit Station,3.304,Terminal feri Berjaya Waterfront Johor Bahru,7.391,Moderate Access
OSM_node_4087248494,Kampung Sungai Melayu,Attraction,Johor,Johor Bahru,1.452128,103.692873,Sungai Danga,Bus Stop,1994.2,1.994,Sungai Danga,1.994,Unnamed Transit Station,2.729,Terminal feri Puteri Harbour (Iskandar Puteri),5.478,Limited Access
OSM_node_3133247377,Little Big Club,Attraction,Johor,Johor Bahru,1.416707,103.656996,Puteri Harbour,Bus Stop,64.7,0.065,Puteri Harbour,0.065,Unnamed Transit Station,3.397,Terminal Feri Puteri Harbour,0.475,High Access
OSM_node_5884004387,Monday Night Market,Attraction,Johor,Johor Bahru,1.516365,103.821307,Jalan Permas 1/6,Bus Stop,94.7,0.095,Jalan Permas 1/6,0.095,Bukit Chagar,8.604,Terminal feri Berjaya Waterfront Johor Bahru,6.512,High Access
OSM_node_11145448105,Permas Go-Kart,Attraction,Johor,Johor Bahru,1.535978,103.852677,Tasik Tun Jeanne Abdullah,Bus Stop,2744.6,2.745,Tasik Tun Jeanne Abdullah,2.745,Pasir Gudang,12.674,Terminal feri Berjaya Waterfront Johor Bahru,10.473,Limited Access
OSM_node_11145697605,RUD Karting Medini,Attraction,Johor,Johor Bahru,1.405086,103.625672,RUD Karting Center,Bus Stop,130.6,0.131,RUD Karting Center,0.131,Unnamed Transit Station,2.652,Terminal Feri Puteri Harbour,4.01,High Access
OSM_way_621691336,Royal Crown Arch,Attraction,Johor,Johor Bahru,1.482278,103.722493,Opposite Tune Hotel,Bus Stop,356.1,0.356,Opposite Tune Hotel,0.356,Bukit Chagar,4.765,Terminal feri Berjaya Waterfront Johor Bahru,7.077,High Access
OSM_node_11383217664,Sarang Buaya Pasir Gudang,Attraction,Johor,Johor Bahru,1.442535,103.998521,Jalan Tembikai Utama,Bus Stop,5972.1,5.972,Jalan Tembikai Utama,5.972,Pasir Gudang,8.156,Unnamed Ferry Terminal,7.03,Low Access
OSM_node_13238212103,Seri Alam tunnel,Attraction,Johor,Johor Bahru,1.527384,103.853101,Hospital Pasir Gudang,Bus Stop,1949.4,1.949,Hospital Pasir Gudang,1.949,Pasir Gudang,11.926,Terminal feri Berjaya Waterfront Johor Bahru,9.873,Limited Access
OSM_node_10914091290,Staircase to heaven,Attraction,Johor,Johor Bahru,1.334329,103.594296,Forest City Sales Gallery,Bus Stop,343.2,0.343,Forest City Sales Gallery,0.343,Unnamed Transit Station,5.029,Puteri harbour (Iskandar Puteri),11.467,High Access
OSM_way_1041724143,Tan Hiok Nee Heritage Walk,Attraction,Johor,Johor Bahru,1.456637,103.764032,Opposite Wisma Peladang,Bus Stop,94.3,0.094,Opposite Wisma Peladang,0.094,Johor Bahru Sentral,0.705,Terminal feri Berjaya Waterfront Johor Bahru,2.771,High Access
OSM_node_4867399321,Unnamed Attraction,Attraction,Johor,Johor Bahru,1.417312,103.658723,Puteri Harbour,Bus Stop,252.1,0.252,Puteri Harbour,0.252,Unnamed Transit Station,3.55,Terminal Feri Puteri Harbour,0.389,High Access
OSM_node_13527850101,Zero Kilometre (0 KM) of Peninsular Malaysia,Attraction,Johor,Johor Bahru,1.455607,103.761981,Pejabat Pos Besar,Bus Stop,30.5,0.03,Pejabat Pos Besar,0.031,Johor Bahru Sentral,0.867,Terminal feri Berjaya Waterfront Johor Bahru,3.024,High Access
OSM_node_7033606987,amigos horse riding,Attraction,Johor,Johor Bahru,1.441447,103.93812,Unnamed Bus Stop,Bus Stop,796.3,0.796,Unnamed Bus Stop,0.796,Pasir Gudang,1.59,Pasir Gudang,2.055,Moderate Access
OSM_node_5573564221,little india,Attraction,Johor,Johor Bahru,1.458974,103.763897,UTC Johor,Bus Stop,75.2,0.075,UTC Johor,0.075,Johor Bahru Sentral,0.45,Terminal feri Berjaya Waterfront Johor Bahru,2.652,High Access
OSM_way_1453242624,Stulang Beach,Beach,Johor,Johor Bahru,1.467494,103.779534,Foon Yew High School,Bus Stop,28.0,0.028,Foon Yew High School,0.028,Johor Bahru Sentral,1.732,Terminal feri Berjaya Waterfront Johor Bahru,0.673,High Access
OSM_way_287939603,Unnamed Beach,Beach,Johor,Johor Bahru,1.315629,103.610244,Forest City Sales Gallery,Bus Stop,2978.0,2.978,Forest City Sales Gallery,2.978,Unnamed Transit Station,7.252,Puteri harbour (Iskandar Puteri),12.203,Limited Access
OSM_way_450546873,Unnamed Beach,Beach,Johor,Johor Bahru,1.463914,103.725981,Opposite M-Suites,Bus Stop,420.8,0.421,Opposite M-Suites,0.421,Bukit Chagar,4.038,Terminal feri Berjaya Waterfront Johor Bahru,6.597,Moderate Access
OSM_relation_13939150,Unnamed Beach,Beach,Johor,Johor Bahru,1.337977,103.589082,Forest City Sales Gallery,Bus Stop,453.4,0.453,Forest City Sales Gallery,0.453,Unnamed Transit Station,4.695,Puteri harbour (Iskandar Puteri),11.555,Moderate Access
OSM_way_397739666,Istana Bukit Serene,Historic Site (Castle),Johor,Johor Bahru,1.479797,103.726369,Opposite Danga Bay,Bus Stop,560.7,0.561,Opposite Danga Bay,0.561,Bukit Chagar,4.263,Terminal feri Berjaya Waterfront Johor Bahru,6.603,Moderate Access
OSM_node_10718051505,Dataran Mahkota,Historic Site (Memorial),Johor,Johor Bahru,1.422618,103.6518,Unnamed Bus Stop,Bus Stop,238.8,0.239,Unnamed Bus Stop,0.239,Unnamed Transit Station,2.633,Terminal Feri Puteri Harbour,1.34,High Access
OSM_way_1041660109,I❤MALAYSIA,Historic Site (Memorial),Johor,Johor Bahru,1.332558,103.588419,Forest City Sales Gallery,Bus Stop,378.1,0.378,Forest City Sales Gallery,0.378,Unnamed Transit Station,5.298,Puteri harbour (Iskandar Puteri),12.045,High Access
OSM_node_10719628808,Masjid Al-Makmur Taman Kobena,Historic Site (Memorial),Johor,Johor Bahru,1.503381,103.696568,Kompleks Pekan Rabu,Bus Stop,300.3,0.3,Kompleks Pekan Rabu,0.3,Kempas Baru,4.67,Terminal feri Berjaya Waterfront Johor Bahru,10.501,High Access
OSM_node_12969633801,Nirvana Memorial Center (Skudai),Historic Site (Memorial),Johor,Johor Bahru,1.525922,103.65626,Unnamed Bus Stop,Bus Stop,259.7,0.26,Unnamed Bus Stop,0.26,Unnamed Transit Station,6.444,Terminal Feri Puteri Harbour,12.374,High Access
OSM_node_8175332117,Nirvana Memorial Park Tiram Johor,Historic Site (Memorial),Johor,Johor Bahru,1.585234,103.911909,FELDA Sungai Tiram,Bus Stop,3190.8,3.191,FELDA Sungai Tiram,3.191,Pasir Gudang,15.265,Terminal feri Pasir Gudang,16.794,Low Access
OSM_node_12152113915,Datuk Gong,Historic Site (Wayside Shrine),Johor,Johor Bahru,1.510989,103.650217,Blok 33 & 34,Bus Stop,56.0,0.056,Blok 33 & 34,0.056,Unnamed Transit Station,5.11,Terminal Feri Puteri Harbour,10.773,High Access
OSM_node_13229928798,Unnamed Historic Site (Wayside Shrine),Historic Site (Wayside Shrine),Johor,Johor Bahru,1.522596,103.855393,Hospital Pasir Gudang,Bus Stop,1360.7,1.361,Hospital Pasir Gudang,1.361,Pasir Gudang,11.363,Terminal feri Berjaya Waterfront Johor Bahru,9.747,Limited Access
