asset_id,asset_name,category,state,district,lat,lon,nearest_road_name,nearest_road_ref,nearest_road_type,distance_to_road_m,distance_to_road_km,nearest_motorway_name,distance_to_motorway_km,nearest_trunk_name,distance_to_trunk_km,road_access_tier
OSM_node_7265862962,Long Hwa Aquarium,Aquarium,Johor,Batu Pahat,1.842211,102.949334,Jalan Tanjung Laboh,5,Trunk,578.1,0.578,Lebuhraya Utara–Selatan,20.375,Jalan Tanjung Laboh,0.578,Good Access
OSM_node_5240309922,Abandoned Fire Station,Attraction,Johor,Batu Pahat,1.851015,102.925832,Jalan Rahmat,,Primary,57.9,0.058,Lebuhraya Utara–Selatan,21.168,Unnamed Trunk (5;50),1.425,Direct Access
OSM_node_14014623606,Fortune Dragon,Attraction,Johor,Batu Pahat,2.020555,103.081634,Jalan Labis-Yong Peng,1,Trunk,1503.4,1.503,Lebuhraya Utara–Selatan,2.791,Jalan Labis-Yong Peng,1.503,Limited Access
OSM_node_8785274135,Pantai Sungai Lurus,Attraction,Johor,Batu Pahat,1.727808,103.028447,Jalan Pontian - Batu Pahat,5,Trunk,2569.5,2.57,Lebuhraya Utara–Selatan,27.71,Jalan Pontian - Batu Pahat,2.57,Low Access
OSM_way_1461870854,Rumah Tempat Datang-Datang Batu Pahat,Attraction,Johor,Batu Pahat,1.861444,102.955217,Jalan Kluang,50,Trunk,175.8,0.176,Lebuhraya Utara–Selatan,18.246,Jalan Kluang,0.176,Very Close
OSM_node_5433116545,The Roundabout Tree,Attraction,Johor,Batu Pahat,1.846848,102.938122,Unnamed Trunk (5;50),5;50,Trunk,18.0,0.018,Lebuhraya Utara–Selatan,20.673,Unnamed Trunk (5;50),0.018,Direct Access
OSM_node_11758056916,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.830429,102.970445,Jalan Tanjung Laboh,5,Trunk,1962.2,1.962,Lebuhraya Utara–Selatan,20.337,Jalan Tanjung Laboh,1.962,Limited Access
OSM_node_13649557001,Unnamed Attraction,Attraction,Johor,Batu Pahat,1.826475,102.951359,Jalan Tanjung Laboh,5,Trunk,205.5,0.205,Lebuhraya Utara–Selatan,21.733,Jalan Tanjung Laboh,0.206,Very Close
OSM_node_5289142121,ZhenXin Organic Farm,Attraction,Johor,Batu Pahat,1.962951,103.211888,Jalan Batu Pahat,50,Trunk,95.4,0.095,Lebuhraya Utara–Selatan,4.775,Jalan Batu Pahat,0.095,Direct Access
OSM_node_6040704089,crown of johor,Attraction,Johor,Batu Pahat,1.857496,102.936876,Jalan Bakau Condong,5,Primary,24.3,0.024,Lebuhraya Utara–Selatan,19.83,Jalan Kluang,0.937,Direct Access
OSM_node_6313940185,free durian,Attraction,Johor,Batu Pahat,1.779833,103.096961,Jalan Pontian - Batu Pahat,5,Trunk,5655.5,5.655,Lebuhraya Utara–Selatan,18.973,Jalan Pontian - Batu Pahat,5.656,Low Access
OSM_relation_12909783,Pantai Minyak Beku,Beach,Johor,Batu Pahat,1.794177,102.888357,Jalan Muar,5,Primary,5852.2,5.852,Lebuhraya Utara–Selatan,28.676,Jalan Tanjung Laboh,7.777,Low Access
OSM_relation_12790205,Unnamed Beach,Beach,Johor,Batu Pahat,1.734215,103.012516,Jalan Pontian - Batu Pahat,5,Trunk,2237.5,2.237,Lebuhraya Utara–Selatan,28.043,Jalan Pontian - Batu Pahat,2.238,Low Access
OSM_node_5898717444,Unnamed Historic Site,Historic Site,Johor,Batu Pahat,1.788791,102.885386,Jalan Muar,5,Primary,6281.0,6.281,Lebuhraya Utara–Selatan,29.348,Jalan Tanjung Laboh,8.256,Low Access
OSM_node_3223162097,Parit Sulong Memorial,Historic Site (Memorial),Johor,Batu Pahat,1.973452,102.885055,Jalan Muar-Yong Peng,24,Primary,103.5,0.103,Lebuhraya Utara–Selatan,10.958,Jalan Kluang,14.435,Very Close
