asset_id,name,name_en,name_ms,category,subcategory,osm_category,osm_type,osm_id,lat,lon,state,state_code,district,district_code,cuisine,brand,stars,rooms,beds,operator,website,phone,opening_hours,wheelchair
OSM_node_4348204889,3/4 J.Cemerlang,,,Accommodation,Chalet,tourism=chalet,node,4348204889,1.553133,103.81886,Johor,01,Johor Bahru,02,,,,,,,,,,
OSM_node_7273703965,Homestay CB,,,Accommodation,Chalet,tourism=chalet,node,7273703965,1.526307,103.927531,Johor,01,Johor Bahru,02,,,,,,,,,,
OSM_way_401131256,Taman Sinar Harapan Jubli,,,Accommodation,Chalet,tourism=chalet,way,401131256,1.500749,103.736444,Johor,01,Johor Bahru,02,,,,,,,,,,
OSM_node_11815823569,Unnamed Chalet,,,Accommodation,Chalet,tourism=chalet,node,11815823569,1.484283,103.75675,Johor,01,Johor Bahru,02,,,,,,,,,,
OSM_node_6975980486,Jason Bay Beach Resort,,,Accommodation,Chalet,tourism=chalet,node,6975980486,1.90017,104.103939,Johor,01,Kota Tinggi,04,,,,,,,,0176800321,,
OSM_node_7868798574,Nelayan Beach Resort,Nelayan Beach Resort,,Accommodation,Chalet,tourism=chalet,node,7868798574,1.370561,104.279547,Johor,01,Kota Tinggi,04,,,,,,,,,,
OSM_node_7272428436,Rahhedatul,,,Accommodation,Chalet,tourism=chalet,node,7272428436,1.574403,103.614933,Johor,01,Kulai,21,,,,,,,,,,
OSM_way_1388820923,Angullia Chalet,,,Accommodation,Chalet,tourism=chalet,way,1388820923,2.580025,103.804288,Johor,01,Mersing,05,,,,,,,,,,
OSM_way_1388820880,Barokah Hill Beach Resort,,,Accommodation,Chalet,tourism=chalet,way,1388820880,2.580697,103.800999,Johor,01,Mersing,05,,,,,,,,,,
OSM_way_1313483827,Chuah's Homestay,,,Accommodation,Chalet,tourism=chalet,way,1313483827,2.421325,103.835258,Johor,01,Mersing,05,,,,,,,,,,
