state,reference_year,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,average_length_of_stay,accommodation_rooms,accommodation_establishments,aor_pct,visitor_to_room_ratio,land_area_km2,core_asset_count,core_asset_density,supporting_asset_count,supporting_asset_density,total_tourism_assets,road_access_rate,pt_access_rate,inside_sensitive_rate,near_sensitive_rate,terrestrial_exposure_rate,marine_exposure_rate,environmental_exposure_rate
Selangor,2025,36376442,3614885,15761.73,2.31,34883,460,51.6,1042.81,7990.42,493,61.7,13050,1633.21,13543,43.61,46.04,1.17,4.81,5.97,0.0,5.97
W.P. Kuala Lumpur,2025,35059933,13383492,16906.19,2.33,63973,464,62.6,548.04,244.7,239,976.71,7727,31577.44,7966,96.65,99.58,0.06,26.07,26.14,0.0,26.14
Perak,2025,23642055,944578,8018.54,2.44,19299,481,46.9,1225.04,21256.94,403,18.96,3471,163.29,3874,44.67,32.75,1.47,1.7,3.15,0.03,3.18
Pahang,2025,23161166,2953226,9846.77,2.21,34323,501,75.6,674.8,36349.84,456,12.54,2517,69.24,2973,26.97,29.17,5.05,34.58,33.0,10.36,39.62
Sarawak,2025,22721527,1222481,9138.38,3.1,27913,522,47.7,814.01,125154.79,474,3.79,4795,38.31,5269,38.82,26.37,2.75,5.37,5.5,2.64,8.12
Sabah,2025,22361168,2900293,9753.33,3.15,27208,540,51.6,821.86,75320.11,449,5.96,2439,32.38,2888,40.31,34.3,8.28,19.49,21.61,6.48,27.77
Melaka,2025,20832202,1654330,8732.4,2.11,20159,354,45.4,1033.39,1660.66,1202,723.81,1656,997.19,2858,97.5,95.42,0.45,8.78,0.63,9.17,9.24
Negeri Sembilan,2025,19356545,497085,6529.26,2.29,10856,166,42.2,1783.03,6741.41,169,25.07,1494,221.62,1663,45.56,40.83,1.56,8.84,2.83,8.12,10.4
Johor,2025,18196973,3250524,8722.92,2.68,36043,552,52.3,504.87,19299.21,351,18.19,6689,346.59,7040,37.89,43.02,0.88,1.52,1.43,0.97,2.4
Pulau Pinang,2025,17717979,3472459,8490.36,2.65,26692,376,56.8,663.79,1060.22,374,352.76,5170,4876.35,5544,68.45,79.14,0.41,0.69,0.22,0.88,1.1
Kedah,2025,15607884,2109996,5520.25,2.82,18600,328,46.6,839.13,9627.19,335,34.8,2792,290.01,3127,35.82,20.0,0.16,0.22,0.16,0.22,0.38
Terengganu,2025,15462278,276786,5795.14,2.76,11190,256,46.3,1381.79,13097.57,270,20.61,1283,97.96,1553,20.74,25.19,4.7,14.62,3.73,15.78,19.32
Kelantan,2025,12062016,59329,5239.01,2.98,6362,170,43.2,1895.95,15353.11,213,13.87,1598,104.08,1811,26.76,20.19,0.33,0.77,1.1,0.0,1.1
Perlis,2025,3755682,8334,1211.2,2.25,1489,44,41.0,2522.28,833.77,15,17.99,179,214.69,194,40.0,33.33,1.03,1.55,2.58,0.0,2.58
W.P. Putrajaya,2025,3146484,222220,1235.86,2.5,2580,13,56.5,1219.57,49.76,12,241.16,290,5827.97,302,91.67,100.0,0.0,0.0,0.0,0.0,0.0
W.P. Labuan,2025,604370,55107,379.29,2.51,2296,50,37.0,263.23,93.14,36,386.51,90,966.29,126,13.89,11.11,0.79,1.59,0.0,2.38,2.38
