state,reference_year,demand_score,readiness_score,quadrant,demand_tier,readiness_tier,average_length_of_stay,domestic_visitors_norm,international_hotel_guests_norm,domestic_receipts_norm,alos_norm,accommodation_rooms_norm,core_asset_density_norm,supporting_asset_density_norm,road_access_rate_norm,pt_access_rate_norm
W.P. Kuala Lumpur,2025,98.77,99.7,High Demand / High Readiness,High Demand,High Readiness,2.33,96.32,100.0,100.0,21.15,100.0,100.0,100.0,98.98,99.53
Selangor,2025,73.35,27.86,High Demand / High Readiness,High Demand,High Readiness,2.31,100.0,26.96,93.08,19.23,53.44,5.95,5.07,35.55,39.3
Pahang,2025,47.46,17.91,High Demand / Low Readiness,High Demand,Low Readiness,2.21,63.06,22.02,57.29,9.62,52.55,0.9,0.12,15.64,20.32
Sabah,2025,46.39,19.81,High Demand / High Readiness,High Demand,High Readiness,3.15,60.82,21.62,56.72,100.0,41.16,0.22,0.0,31.6,26.09
Sarawak,2025,41.3,17.86,High Demand / Low Readiness,High Demand,Low Readiness,3.1,61.83,9.08,53.0,95.19,42.29,0.0,0.02,29.82,17.17
Johor,2025,41.3,24.48,High Demand / High Readiness,High Demand,High Readiness,2.68,49.18,24.24,50.49,54.81,55.3,1.48,1.0,28.7,35.9
Pulau Pinang,2025,40.94,46.67,High Demand / High Readiness,High Demand,High Readiness,2.65,47.84,25.9,49.08,51.92,40.34,35.87,15.36,65.26,76.53
Melaka,2025,39.8,60.36,High Demand / High Readiness,High Demand,High Readiness,2.11,56.55,12.31,50.54,0.0,29.88,74.01,3.06,100.0,94.85
Perak,2025,39.21,18.32,Low Demand / High Readiness,Low Demand,High Readiness,2.44,64.4,7.0,46.22,31.73,28.5,1.56,0.41,36.81,24.34
Negeri Sembilan,2025,31.09,17.82,Low Demand / Low Readiness,Low Demand,Low Readiness,2.29,52.42,3.65,37.21,17.31,14.99,2.19,0.6,37.88,33.43
Kedah,2025,29.59,13.52,Low Demand / Low Readiness,Low Demand,Low Readiness,2.82,41.94,15.71,31.11,68.27,27.38,3.19,0.82,26.23,10.0
Terengganu,2025,25.44,8.3,Low Demand / Low Readiness,Low Demand,Low Readiness,2.76,41.53,2.01,32.77,62.5,15.53,1.73,0.21,8.19,15.84
Kelantan,2025,20.6,6.93,Low Demand / Low Readiness,Low Demand,Low Readiness,2.98,32.03,0.38,29.4,83.65,7.8,1.04,0.23,15.39,10.21
W.P. Putrajaya,2025,4.63,47.51,Low Demand / High Readiness,Low Demand,High Readiness,2.5,7.11,1.6,5.18,37.5,1.75,24.4,18.37,93.03,100.0
Perlis,2025,4.61,11.65,Low Demand / Low Readiness,Low Demand,Low Readiness,2.25,8.81,0.0,5.03,13.46,0.0,1.46,0.58,31.23,25.0
W.P. Labuan,2025,0.12,8.72,Low Demand / Low Readiness,Low Demand,Low Readiness,2.51,0.0,0.35,0.0,38.46,1.29,39.34,2.96,0.0,0.0
