state,year,domestic_visitors,international_hotel_guests,domestic_receipts_rm_million,accommodation_rooms,accommodation_establishments,aor_pct
JOHOR,2019,14274.3642667527,2548685.0,7409.67789125131,34911.0,552.0,57.3
JOHOR,2020,7242.508,,2431.61988775028,,,
JOHOR,2021,3657.55,,1251.84930290302,,,
JOHOR,2022,12376.202,2039675.0,4888.35148006201,34294.0,535.0,48.3
JOHOR,2023,15804.89,3531649.0,6699.11884569231,35208.0,548.0,50.7
JOHOR,2024,17138.338,3003542.0,7814.41585763373,36043.0,552.0,52.3
JOHOR,2025,18196.973,3250524.0,8722.92495205821,35799.0,553.0,54.2
KEDAH,2019,14831.1555133218,1583215.0,5208.13192969844,19640.0,328.0,55.7
KEDAH,2020,10108.084,,2272.69214593496,,,
KEDAH,2021,4023.002,,842.205404074748,,,
KEDAH,2022,11186.197,589439.0,3469.82268561478,17585.0,312.0,32.5
KEDAH,2023,13444.055,1561751.0,4206.61948328264,19029.0,330.0,43.4
KEDAH,2024,14651.4879543306,1985063.0,4961.15023607227,18600.0,328.0,46.6
KEDAH,2025,15607.884,2109996.0,5520.25004061484,18679.0,330.0,46.4
KELANTAN,2019,10985.6520100096,49211.0,4800.04103126423,5851.0,170.0,43.4
KELANTAN,2020,6058.183,,1555.12261713697,,,
KELANTAN,2021,1920.93,,477.222127559975,,,
KELANTAN,2022,6627.155,36969.0,2586.22406280686,6075.0,196.0,46.4
KELANTAN,2023,7549.37,59273.0,3228.385093431,6269.0,169.0,41.2
KELANTAN,2024,10514.411,102252.0,4540.61133613717,6362.0,170.0,43.2
KELANTAN,2025,12062.016,59329.0,5239.00827617872,6392.0,224.0,41.0
MELAKA,2019,13978.9741697121,1465372.0,6369.89280746409,21540.0,354.0,51.7
MELAKA,2020,7274.547,,2372.6250612483,,,
MELAKA,2021,3878.14,,1004.11271080667,,,
MELAKA,2022,11757.166,536249.0,4842.59364655733,19343.0,350.0,40.1
MELAKA,2023,15558.661,1538630.0,6438.41105660879,19961.0,355.0,44.7
MELAKA,2024,19128.405,1516524.0,7933.20647467174,20159.0,354.0,45.4
MELAKA,2025,20832.201530282,1654330.0,8732.39649344146,20655.0,357.0,44.2
NEGERI SEMBILAN,2019,13303.0418435376,459539.0,5071.03036849894,12892.0,166.0,51.9
NEGERI SEMBILAN,2020,7917.736,,2232.9800948256,,,
NEGERI SEMBILAN,2021,5485.17,,1213.38512045771,,,
NEGERI SEMBILAN,2022,11490.144,89048.0,3651.3406055165,11129.0,161.0,38.7
NEGERI SEMBILAN,2023,14959.47,340372.0,4777.28125500884,10643.0,161.0,41.0
NEGERI SEMBILAN,2024,17784.532,459715.0,5869.462129308,10856.0,166.0,42.2
NEGERI SEMBILAN,2025,19356.545,1030085.0,6529.26193925348,11527.0,174.0,46.1
PAHANG,2019,18497.5783549097,2754449.0,7600.74634258733,32664.0,501.0,79.4
PAHANG,2020,9905.002,,2748.04988629641,,,
PAHANG,2021,3404.772,,914.378229522129,,,
PAHANG,2022,13188.959,1689554.0,5316.78906097375,33780.0,500.0,46.1
PAHANG,2023,16455.567,3212597.0,6733.34364809185,33387.0,503.0,74.1
PAHANG,2024,20173.876,2931858.0,8709.75913589491,34323.0,501.0,75.6
PAHANG,2025,23161.166,2953226.0,9846.76892463924,34401.0,505.0,76.3
PERAK,2019,21070.7209104421,293256.0,7824.05505390701,19063.0,481.0,43.9
PERAK,2020,13173.306,,3317.0693364196,,,
PERAK,2021,4489.273,,1159.53265234848,,,
PERAK,2022,14566.727,333306.0,4541.33101270089,18900.0,488.0,54.8
PERAK,2023,17107.518,867665.0,5641.02361320425,19763.0,487.0,47.3
PERAK,2024,21776.217,970611.0,7223.79803827434,19299.0,481.0,46.9
PERAK,2025,23642.055,944578.0,8018.53798306468,19572.0,486.0,45.6
PERLIS,2019,2087.37244564133,5700.0,578.805530778065,1422.0,44.0,36.0
PERLIS,2020,1193.108,,224.066307262435,,,
PERLIS,2021,406.796,,78.0132972300273,,,
PERLIS,2022,1669.175,4709.0,455.618787502378,1297.0,41.0,42.0
PERLIS,2023,1950.771,6730.0,583.870113407444,1444.0,44.0,42.2
PERLIS,2024,3225.428,8567.0,1002.81372997629,1489.0,44.0,41.0
PERLIS,2025,3755.682,8334.0,1211.20382670128,1553.0,46.0,41.7
PULAU PINANG,2019,15410.6252310139,2848750.0,6653.65601165969,21247.0,376.0,56.5
PULAU PINANG,2020,8929.515,,2427.15888222993,,,
PULAU PINANG,2021,5060.864,,1158.8101313766,,,
PULAU PINANG,2022,10002.735,1256628.0,3648.39930839687,20558.0,362.0,44.1
PULAU PINANG,2023,13127.587,2476959.0,5814.73535455749,25543.0,364.0,52.9
PULAU PINANG,2024,16604.803,3000488.0,7424.29144738457,26692.0,376.0,56.8
PULAU PINANG,2025,17717.979,3472459.0,8490.35816379311,28045.0,384.0,50.9
SABAH,2019,22035.0674727792,3057376.0,8080.66670997202,28000.0,540.0,65.8
SABAH,2020,10336.897,,2676.77169855219,,,
SABAH,2021,3815.016,,1052.02211208469,,,
SABAH,2022,12589.005,677103.0,4825.8695952754,27963.0,479.0,45.2
SABAH,2023,16080.074,2221221.0,6712.51460553787,26706.0,532.0,49.0
SABAH,2024,20591.813,3135973.0,8634.24673303019,27208.0,540.0,51.6
SABAH,2025,22361.168,2900293.0,9753.3273839687,27254.0,544.0,54.1
SARAWAK,2019,19793.3756868456,539599.0,8670.74332850991,28200.0,522.0,46.1
SARAWAK,2020,9393.255,,3384.67058146855,,,
SARAWAK,2021,6510.9,,1935.25867544385,,,
SARAWAK,2022,15464.621,618251.0,5430.77227763946,28752.0,495.0,57.4
SARAWAK,2023,17901.19,1218196.0,6942.67318117489,26592.0,503.0,46.0
SARAWAK,2024,19625.552,1445113.0,7956.67071248269,27913.0,522.0,47.7
SARAWAK,2025,22721.527,1222481.0,9138.37553459759,28236.0,523.0,47.3
SELANGOR,2019,33588.5269586995,1866153.0,15544.408509962,31987.0,460.0,56.4
SELANGOR,2020,19714.734,,7051.46346613165,,,
SELANGOR,2021,10211.58,,3158.5633823777,,,
SELANGOR,2022,21989.558,1572497.0,8734.80808554066,30850.0,439.0,53.7
SELANGOR,2023,27579.478,2787168.0,11102.7131520834,32656.0,444.0,49.9
SELANGOR,2024,34460.8280456694,3349909.0,14226.1256382058,34883.0,460.0,51.6
SELANGOR,2025,36376.442,3614885.0,15761.7254823629,35066.0,462.0,54.8
TERENGGANU,2019,14158.2836313106,179324.0,5990.01250659243,10730.0,256.0,41.3
TERENGGANU,2020,7419.729,,2254.5058315233,,,
TERENGGANU,2021,3719.052,,984.111528570248,,,
TERENGGANU,2022,10233.282,86846.0,3363.29891312298,10562.0,253.0,55.3
TERENGGANU,2023,11760.516,206327.0,4192.31725641659,10927.0,255.0,44.8
TERENGGANU,2024,14460.728,281579.0,5170.36305105575,11190.0,256.0,46.3
TERENGGANU,2025,15462.278,276786.0,5795.14407298498,11314.0,258.0,45.4
W.P. KUALA LUMPUR,2019,22633.3676990154,10931619.0,12141.2336770866,61967.0,464.0,59.9
W.P. KUALA LUMPUR,2020,12434.908,,5273.1884382134,,,
W.P. KUALA LUMPUR,2021,9116.005,,3083.51714291348,,,
W.P. KUALA LUMPUR,2022,16912.534,4281244.0,7732.79579884474,55641.0,158.0,49.0
W.P. KUALA LUMPUR,2023,22232.643,8701780.0,10995.3241427932,60872.0,448.0,59.1
W.P. KUALA LUMPUR,2024,26982.957,12129440.0,14077.6575426553,63973.0,464.0,62.6
W.P. KUALA LUMPUR,2025,35059.9331815272,13383492.0,16906.1917737811,66133.0,479.0,66.9
